Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18726636,00000476,false,Rx,0,8,8C,78,0C,78,0C,79,0C,78,
18727640,000007E6,false,Rx,0,8,C0,00,00,00,00,00,00,09,
18750229,00000468,false,Rx,0,8,8C,A2,0C,A4,BC,AA,0C,AA,
18751139,00000478,false,Rx,0,8,8C,A9,0C,A8,0C,AA,0C,AB,
18752113,000007E8,false,Rx,0,8,CC,92,00,00,00,00,00,A9,
18760866,0000046A,false,Rx,0,8,8C,B1,0C,B2,BC,B8,0C,B6,
18761787,0000047A,false,Rx,0,8,8C,B8,0C,B6,0C,B8,0C,B8,
18762781,000007EA,false,Rx,0,8,C0,00,00,00,00,00,00,0D,
18769741,0000046C,false,Rx,0,6,8B,10,0B,12,BB,1B,00,00,
18770539,0000047C,false,Rx,0,6,8B,1C,0B,1C,0B,1C,00,00,
18771533,000007EC,false,Rx,0,8,CC,BB,00,00,00,00,00,D6,
18773873,0000046D,false,Rx,0,6,8C,98,0C,98,BC,A1,00,00,
18774681,0000047D,false,Rx,0,6,8C,A0,0C,9F,0C,A0,00,00,
18775676,000007ED,false,Rx,0,8,CC,C3,00,00,00,00,00,DF,
18779342,0000046E,false,Rx,0,6,8C,A1,0C,A2,BC,A9,00,00,
18780137,0000047E,false,Rx,0,6,8C,A9,0C,A9,0C,A8,00,00,
18781172,000007EE,false,Rx,0,8,C0,00,00,00,00,00,00,11,
18796164,00000200,false,Rx,0,3,52,9C,00,00,00,00,00,00,
18894027,00000460,false,Rx,0,6,8B,0E,9B,0D,4B,15,00,00,
18894824,00000470,false,Rx,0,6,8B,17,0B,16,0B,17,00,00,
18895829,000007E0,false,Rx,0,8,4C,B0,00,00,00,00,00,BD,
18900412,00000461,false,Rx,0,8,8B,08,9B,09,4B,10,0B,12,
18901303,00000471,false,Rx,0,8,8B,11,0B,11,0B,11,0B,11,
18902309,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
18903282,000007E1,false,Rx,0,8,4C,A5,00,00,00,00,00,B3,
18904064,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
18910703,00000463,false,Rx,0,8,8B,0F,9B,11,4B,1B,0B,1A,
18911593,00000473,false,Rx,0,8,8B,1C,0B,1D,0B,1B,0B,1A,
18912588,000007E3,false,Rx,0,8,40,00,00,00,00,00,00,04,
18915510,00000464,false,Rx,0,8,8C,C5,9C,C7,4C,D5,0C,D4,
18916421,00000474,false,Rx,0,8,8C,D4,0C,D5,0C,D3,0C,D3,
18917405,000007E4,false,Rx,0,8,4C,B5,00,00,00,00,00,C6,
18925740,00000466,false,Rx,0,8,8C,6E,9C,6E,4C,79,0C,79,
18926639,00000476,false,Rx,0,8,8C,78,0C,79,0C,79,0C,78,
18927625,000007E6,false,Rx,0,8,40,00,00,00,00,00,00,07,
18950222,00000468,false,Rx,0,8,8C,A3,9C,A3,4C,A9,0C,AA,
18951162,00000478,false,Rx,0,8,8C,AA,0C,A8,0C,AA,0C,AC,
18952128,000007E8,false,Rx,0,8,4C,92,00,00,00,00,00,A7,
18960891,0000046A,false,Rx,0,8,8C,B1,9C,B2,4C,B6,0C,BA,
18961780,0000047A,false,Rx,0,8,8C,B6,0C,B9,0C,B9,0C,B6,
18962765,000007EA,false,Rx,0,8,40,00,00,00,00,00,00,0B,
18969744,0000046C,false,Rx,0,6,8B,11,9B,12,4B,1B,00,00,
18970532,0000047C,false,Rx,0,6,8B,1B,0B,1B,0B,1C,00,00,
18971547,000007EC,false,Rx,0,8,4C,BB,00,00,00,00,00,D4,
18973876,0000046D,false,Rx,0,6,8C,99,9C,98,4C,A1,00,00,
