Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
45552182,00000468,false,Rx,0,8,8C,A2,1C,A4,BC,A9,0C,AA,
45553091,00000478,false,Rx,0,8,8C,AA,0C,A7,0C,AA,0C,AC,
45554056,000007E8,false,Rx,0,8,CC,92,00,00,00,00,00,A9,
45562828,0000046A,false,Rx,0,8,8C,B3,1C,B2,BC,B8,0C,B7,
45563728,0000047A,false,Rx,0,8,8C,B6,0C,B7,0C,B9,0C,BA,
45564713,000007EA,false,Rx,0,8,C0,00,00,00,00,00,00,0D,
45571704,0000046C,false,Rx,0,6,8B,10,1B,12,BB,1A,00,00,
45572482,0000047C,false,Rx,0,6,8B,1C,0B,1B,0B,1C,00,00,
45573497,000007EC,false,Rx,0,8,CC,BA,00,00,00,00,00,D5,
45575857,0000046D,false,Rx,0,6,8C,98,1C,97,BC,A2,00,00,
45576665,0000047D,false,Rx,0,6,8C,A0,0C,9F,0C,9F,00,00,
45577650,000007ED,false,Rx,0,8,CC,C2,00,00,00,00,00,DE,
45581305,0000046E,false,Rx,0,6,8C,A1,1C,A2,BC,A9,00,00,
45582103,0000047E,false,Rx,0,6,8C,A9,0C,A8,0C,A8,00,00,
45583138,000007EE,false,Rx,0,8,C0,00,00,00,00,00,00,11,
45598130,00000200,false,Rx,0,3,52,59,00,00,00,00,00,00,
45695959,00000460,false,Rx,0,6,8B,0E,6B,0D,FB,15,00,00,
45696747,00000470,false,Rx,0,6,8B,17,0B,16,0B,17,00,00,
45697763,000007E0,false,Rx,0,8,4C,AF,00,00,00,00,00,BC,
45702376,00000461,false,Rx,0,8,8B,09,6B,09,FB,10,0B,12,
45703276,00000471,false,Rx,0,8,8B,10,0B,11,0B,11,0B,13,
45704291,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
45705253,000007E1,false,Rx,0,8,4C,A4,00,00,00,00,00,B2,
45706036,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
45712646,00000463,false,Rx,0,8,8B,0F,6B,11,FB,1A,0B,1C,
45713556,00000473,false,Rx,0,8,8B,1A,0B,1D,0B,1A,0B,1B,
45714541,000007E3,false,Rx,0,8,40,00,00,00,00,00,00,04,
45717463,00000464,false,Rx,0,8,8C,C4,6C,C7,FC,D4,0C,D4,
45718373,00000474,false,Rx,0,8,8C,D3,0C,D4,0C,D3,0C,D2,
45719348,000007E4,false,Rx,0,8,4C,B4,00,00,00,00,00,C5,
45727724,00000466,false,Rx,0,8,8C,6F,6C,6F,FC,76,0C,79,
45728644,00000476,false,Rx,0,8,8C,79,0C,76,0C,76,0C,79,
45729628,000007E6,false,Rx,0,8,40,00,00,00,00,00,00,07,
45752204,00000468,false,Rx,0,8,8C,A2,6C,A4,FC,AA,0C,A9,
45753135,00000478,false,Rx,0,8,8C,AA,0C,A8,0C,AA,0C,AB,
45754109,000007E8,false,Rx,0,8,4C,91,00,00,00,00,00,A6,
45762831,0000046A,false,Rx,0,8,8C,B2,6C,B2,FC,B5,0C,B8,
45763741,0000047A,false,Rx,0,8,8C,B8,0C,B9,0C,B8,0C,B5,
45764716,000007EA,false,Rx,0,8,40,00,00,00,00,00,00,0B,
45771715,0000046C,false,Rx,0,6,8B,10,6B,11,FB,1B,00,00,
45772493,0000047C,false,Rx,0,6,8B,1B,0B,1B,0B,1C,00,00,
45773498,000007EC,false,Rx,0,8,4C,BA,00,00,00,00,00,D3,
45775847,0000046D,false,Rx,0,6,8C,99,6C,98,FC,A1,00,00,
45776645,0000047D,false,Rx,0,6,8C,9F,0C,A0,0C,9F,00,00,
45777631,000007ED,false,Rx,0,8,4C,C2,00,00,00,00,00,DC,
45781325,0000046E,false,Rx,0,6,8C,A1,6C,A1,FC,A9,00,00,
45782121,0000047E,false,Rx,0,6,8C,A8,0C,A8,0C,A8,00,00,
45783137,000007EE,false,Rx,0,8,40,00,00,00,00,00,00,0F,
45798149,00000200,false,Rx,0,3,D2,6D,00,00,00,00,00,00,
45895992,00000460,false,Rx,0,6,8B,0E,0B,0E,BB,15,00,00,
45896769,00000470,false,Rx,0,6,8B,16,0B,16,0B,17,00,00,
45897794,000007E0,false,Rx,0,8,CC,B0,00,00,00,00,00,BF,
45902398,00000461,false,Rx,0,8,8B,08,0B,09,BB,10,0B,12,
45903308,00000471,false,Rx,0,8,8B,11,0B,12,0B,11,0B,13,
45904314,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
45905287,000007E1,false,Rx,0,8,CC,A4,00,00,00,00,00,B4,
45906069,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
45912687,00000463,false,Rx,0,8,8B,11,0B,0F,BB,1C,0B,1B,
45913598,00000473,false,Rx,0,8,8B,1A,0B,1C,0B,1B,0B,1A,
45914583,000007E3,false,Rx,0,8,C0,00,00,00,00,00,00,06,
45917495,00000464,false,Rx,0,8,8C,C6,0C,C6,BC,D5,0C,D3,
45918395,00000474,false,Rx,0,8,8C,D3,0C,D5,0C,D3,0C,D3,
45919359,000007E4,false,Rx,0,8,CC,B4,00,00,00,00,00,C7,
45927735,00000466,false,Rx,0,8,8C,6F,0C,6D,BC,78,0C,7B,
45928654,00000476,false,Rx,0,8,8C,76,0C,76,0C,78,0C,79,
45929649,000007E6,false,Rx,0,8,C0,00,00,00,00,00,00,09,
45952208,00000468,false,Rx,0,8,8C,A2,0C,A3,BC,A9,0C,A9,
45953117,00000478,false,Rx,0,8,8C,A9,0C,A7,0C,AA,0C,AB,
45954082,000007E8,false,Rx,0,8,CC,92,00,00,00,00,00,A9,
45962855,0000046A,false,Rx,0,8,8C,AF,0C,B2,BC,B9,0C,B9,
45963765,0000047A,false,Rx,0,8,8C,B8,0C,B5,0C,B8,0C,B9,
45964759,000007EA,false,Rx,0,8,C0,00,00,00,00,00,00,0D,
45971728,0000046C,false,Rx,0,6,8B,10,0B,11,BB,1A,00,00,
45972496,0000047C,false,Rx,0,6,8B,1B,0B,1B,0B,1C,00,00,
45973512,000007EC,false,Rx,0,8,CC,BA,00,00,00,00,00,D5,
45975872,0000046D,false,Rx,0,6,8C,98,0C,96,BC,A1,00,00,
45976680,0000047D,false,Rx,0,6,8C,A0,0C,9F,0C,9F,00,00,
45977674,000007ED,false,Rx,0,8,CC,C2,00,00,00,00,00,DE,
45981329,0000046E,false,Rx,0,6,8C,A1,0C,A2,BC,A9,00,00,
45982138,0000047E,false,Rx,0,6,8C,A7,0C,A8,0C,A8,00,00,
45983162,000007EE,false,Rx,0,8,C0,00,00,00,00,00,00,11,
45998165,00000200,false,Rx,0,3,52,9C,00,00,00,00,00,00,
46096004,00000460,false,Rx,0,6,8B,0E,9B,0D,4B,15,00,00,
46096791,00000470,false,Rx,0,6,8B,16,0B,16,0B,17,00,00,
46097815,000007E0,false,Rx,0,8,4C,AF,00,00,00,00,00,BC,
46102429,00000461,false,Rx,0,8,8B,09,9B,09,4B,10,0B,12,
46103340,00000471,false,Rx,0,8,8B,10,0B,11,0B,10,0B,11,
46104345,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
46105307,000007E1,false,Rx,0,8,4C,A4,00,00,00,00,00,B2,
46106090,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
46112698,00000463,false,Rx,0,8,8B,10,9B,10,4B,1B,0B,1B,
46113608,00000473,false,Rx,0,8,8B,19,0B,1C,0B,1C,0B,1A,
46114593,000007E3,false,Rx,0,8,40,00,00,00,00,00,00,04,
46117505,00000464,false,Rx,0,8,8C,C5,9C,C7,4C,D3,0C,D3,
46118425,00000474,false,Rx,0,8,8C,D4,0C,D5,0C,D3,0C,D3,
46119401,000007E4,false,Rx,0,8,4C,B4,00,00,00,00,00,C5,
46127755,00000466,false,Rx,0,8,8C,6D,9C,6E,4C,7A,0C,77,
46128656,00000476,false,Rx,0,8,8C,75,0C,78,0C,79,0C,79,
46129640,000007E6,false,Rx,0,8,40,00,00,00,00,00,00,07,
46152238,00000468,false,Rx,0,8,8C,A2,9C,A4,4C,A9,0C,AA,
46153138,00000478,false,Rx,0,8,8C,A9,0C,A7,0C,AA,0C,AB,
46154113,000007E8,false,Rx,0,8,4C,92,00,00,00,00,00,A7,
46162896,0000046A,false,Rx,0,8,8C,B2,9C,B2,4C,B6,0C,B8,
46163816,0000047A,false,Rx,0,8,8C,B8,0C,B6,0C,B7,0C,BA,
46164802,000007EA,false,Rx,0,8,40,00,00,00,00,00,00,0B,
46171741,0000046C,false,Rx,0,6,8B,10,9B,11,4B,1B,00,00,
46172539,0000047C,false,Rx,0,6,8B,1B,0B,1C,0B,1B,00,00,
46173553,000007EC,false,Rx,0,8,4C,BA,00,00,00,00,00,D3,
46175903,0000046D,false,Rx,0,6,8C,9A,9C,98,4C,A1,00,00,
46176701,0000047D,false,Rx,0,6,8C,A0,0C,9F,0C,9E,00,00,
46177705,000007ED,false,Rx,0,8,4C,C2,00,00,00,00,00,DC,
46181371,0000046E,false,Rx,0,6,8C,A1,9C,A1,4C,A8,00,00,
46182149,0000047E,false,Rx,0,6,8C,A9,0C,A9,0C,A9,00,00,
46183185,000007EE,false,Rx,0,8,40,00,00,00,00,00,00,0F,
46198186,00000200,false,Rx,0,3,D2,AF,00,00,00,00,00,00,
46296025,00000460,false,Rx,0,6,8B,0E,4B,0D,5B,16,00,00,
46296812,00000470,false,Rx,0,6,8B,16,0B,16,0B,17,00,00,
46297847,000007E0,false,Rx,0,8,CC,AF,00,00,00,00,00,BE,
46302450,00000461,false,Rx,0,8,8B,09,4B,08,5B,10,0B,13,
46303340,00000471,false,Rx,0,8,8B,12,0B,13,0B,11,0B,12,
46304355,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
46305318,000007E1,false,Rx,0,8,CC,A3,00,00,00,00,00,B3,
46306101,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
46312739,00000463,false,Rx,0,8,8B,0F,4B,10,5B,1C,0B,1A,
46313629,00000473,false,Rx,0,8,8B,1C,0B,1B,0B,1B,0B,1B,
46314625,000007E3,false,Rx,0,8,C0,00,00,00,00,00,00,06,
46317526,00000464,false,Rx,0,8,8C,C6,4C,C5,5C,D4,0C,D4,
46318426,00000474,false,Rx,0,8,8C,D3,0C,D5,0C,D3,0C,D2,
46319400,000007E4,false,Rx,0,8,CC,B4,00,00,00,00,00,C7,
46327787,00000466,false,Rx,0,8,8C,70,4C,6F,5C,77,0C,79,
46328707,00000476,false,Rx,0,8,8C,78,0C,78,0C,76,0C,77,
46329701,000007E6,false,Rx,0,8,C0,00,00,00,00,00,00,09,
46352271,00000468,false,Rx,0,8,8C,A2,4C,A4,5C,AA,0C,AA,
46353172,00000478,false,Rx,0,8,8C,A9,0C,A7,0C,AA,0C,AB,
46354146,000007E8,false,Rx,0,8,CC,92,00,00,00,00,00,A9,
46362910,0000046A,false,Rx,0,8,8C,B2,4C,B0,5C,B7,0C,B9,
46363809,0000047A,false,Rx,0,8,8C,B6,0C,B7,0C,B9,0C,B6,
46364794,000007EA,false,Rx,0,8,C0,00,00,00,00,00,00,0D,
46371773,0000046C,false,Rx,0,6,8B,10,4B,11,5B,1B,00,00,
46372551,0000047C,false,Rx,0,6,8B,1B,0B,1B,0B,1C,00,00,
46373567,000007EC,false,Rx,0,8,CC,BA,00,00,00,00,00,D5,
46375907,0000046D,false,Rx,0,6,8C,99,4C,96,5C,A2,00,00,
46376715,0000047D,false,Rx,0,6,8C,9F,0C,9F,0C,9F,00,00,
46377699,000007ED,false,Rx,0,8,CC,C2,00,00,00,00,00,DE,
46381396,0000046E,false,Rx,0,6,8C,A0,4C,A1,5C,A9,00,00,
46382183,0000047E,false,Rx,0,6,8C,A9,0C,A8,0C,A8,00,00,
46383218,000007EE,false,Rx,0,8,C0,00,00,00,00,00,00,11,
46398200,00000200,false,Rx,0,3,52,C0,00,00,00,00,00,00,
46496075,00000460,false,Rx,0,6,8B,0E,AB,0D,DB,16,00,00,
46496862,00000470,false,Rx,0,6,8B,17,0B,16,0B,17,00,00,
46497876,000007E0,false,Rx,0,8,4C,AF,00,00,00,00,00,BC,
46502470,00000461,false,Rx,0,8,8B,09,AB,0A,DB,10,0B,12,
46503371,00000471,false,Rx,0,8,8B,11,0B,12,0B,11,0B,13,
46504375,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
46505337,000007E1,false,Rx,0,8,4C,A4,00,00,00,00,00,B2,
46506120,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
46512750,00000463,false,Rx,0,8,8B,11,AB,0F,DB,1C,0B,1A,
46513659,00000473,false,Rx,0,8,8B,1B,0B,1C,0B,1B,0B,1C,
46514654,000007E3,false,Rx,0,8,40,00,00,00,00,00,00,04,
46517545,00000464,false,Rx,0,8,8C,C5,AC,C6,DC,D5,0C,D4,
46518465,00000474,false,Rx,0,8,8C,D4,0C,D4,0C,D3,0C,D2,
46519440,000007E4,false,Rx,0,8,4C,B4,00,00,00,00,00,C5,
46527816,00000466,false,Rx,0,8,8C,6F,AC,6F,DC,7A,0C,78,
46528727,00000476,false,Rx,0,8,8C,76,0C,77,0C,78,0C,78,
46529711,000007E6,false,Rx,0,8,40,00,00,00,00,00,00,07,
46552286,00000468,false,Rx,0,8,8C,A3,AC,A4,DC,AA,0C,AA,
46553216,00000478,false,Rx,0,8,8C,AA,0C,A8,0C,AA,0C,AB,
46554182,000007E8,false,Rx,0,8,4C,92,00,00,00,00,00,A7,
46562913,0000046A,false,Rx,0,8,8C,B1,AC,B2,DC,B7,0C,B6,
46563812,0000047A,false,Rx,0,8,8C,B7,0C,B8,0C,B9,0C,B9,
46564798,000007EA,false,Rx,0,8,40,00,00,00,00,00,00,0B,
46571777,0000046C,false,Rx,0,6,8B,11,AB,11,DB,1A,00,00,
46572565,0000047C,false,Rx,0,6,8B,1B,0B,1B,0B,1C,00,00,
46573589,000007EC,false,Rx,0,8,4C,BA,00,00,00,00,00,D3,
46575949,0000046D,false,Rx,0,6,8C,99,AC,98,DC,A1,00,00,
46576757,0000047D,false,Rx,0,6,8C,9F,0C,A0,0C,9F,00,00,
46577741,000007ED,false,Rx,0,8,4C,C2,00,00,00,00,00,DC,
46581407,0000046E,false,Rx,0,6,8C,A1,AC,A2,DC,A9,00,00,
46582205,0000047E,false,Rx,0,6,8C,A8,0C,A8,0C,A8,00,00,
46583231,000007EE,false,Rx,0,8,40,00,00,00,00,00,00,0F,
46598212,00000200,false,Rx,0,3,D2,F3,00,00,00,00,00,00,
46696093,00000460,false,Rx,0,6,8B,0E,8B,0D,3B,15,00,00,
46696879,00000470,false,Rx,0,6,8B,16,0B,16,0B,17,00,00,
46697905,000007E0,false,Rx,0,8,CC,AF,00,00,00,00,00,BE,
46702479,00000461,false,Rx,0,8,8B,08,8B,09,3B,12,0B,15,
46703379,00000471,false,Rx,0,8,8B,12,0B,13,0B,11,0B,11,
46704384,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
46705357,000007E1,false,Rx,0,8,CC,A3,00,00,00,00,00,B3,
46706140,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
46712758,00000463,false,Rx,0,8,8B,11,8B,10,3B,1B,0B,1A,
46713678,00000473,false,Rx,0,8,8B,1C,0B,1A,0B,1B,0B,1A,
46714663,000007E3,false,Rx,0,8,C0,00,00,00,00,00,00,06,
46717564,00000464,false,Rx,0,8,8C,C5,8C,C6,3C,D5,0C,D3,
46718485,00000474,false,Rx,0,8,8C,D4,0C,D4,0C,D3,0C,D2,
46719450,000007E4,false,Rx,0,8,CC,B4,00,00,00,00,00,C7,
46727837,00000466,false,Rx,0,8,8C,6F,8C,70,3C,7A,0C,79,
46728736,00000476,false,Rx,0,8,8C,77,0C,76,0C,76,0C,78,
46729741,000007E6,false,Rx,0,8,C0,00,00,00,00,00,00,09,
46752310,00000468,false,Rx,0,8,8C,A3,8C,A3,3C,AA,0C,AA,
46753230,00000478,false,Rx,0,8,8C,A9,0C,A8,0C,AA,0C,AA,
46754215,000007E8,false,Rx,0,8,CC,91,00,00,00,00,00,A8,
46762958,0000046A,false,Rx,0,8,8C,B0,8C,B2,3C,BA,0C,B8,
46763848,0000047A,false,Rx,0,8,8C,B7,0C,B5,0C,B8,0C,B8,
46764842,000007EA,false,Rx,0,8,C0,00,00,00,00,00,00,0D,
46771812,0000046C,false,Rx,0,6,8B,10,8B,12,3B,19,00,00,
46772600,0000047C,false,Rx,0,6,8B,1B,0B,1C,0B,1C,00,00,
46773614,000007EC,false,Rx,0,8,CC,BA,00,00,00,00,00,D5,
46775954,0000046D,false,Rx,0,6,8C,99,8C,98,3C,A1,00,00,
46776752,0000047D,false,Rx,0,6,8C,9F,0C,A1,0C,9F,00,00,
46777747,000007ED,false,Rx,0,8,CC,C2,00,00,00,00,00,DE,
46781420,0000046E,false,Rx,0,6,8C,A1,8C,A2,3C,A9,00,00,
46782228,0000047E,false,Rx,0,6,8C,A8,0C,A8,0C,A7,00,00,
46783253,000007EE,false,Rx,0,8,C0,00,00,00,00,00,00,11,
46798225,00000200,false,Rx,0,3,52,05,00,00,00,00,00,00,
46896039,00000460,false,Rx,0,6,8B,0E,4B,0D,CB,15,00,00,
46896846,00000470,false,Rx,0,6,8B,17,0B,16,0B,17,00,00,
46897851,000007E0,false,Rx,0,8,4C,B0,00,00,00,00,00,BD,
46902454,00000461,false,Rx,0,8,8B,0A,4B,0A,CB,11,0B,13,
46903343,00000471,false,Rx,0,8,8B,11,0B,11,0B,10,0B,11,
46904360,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
46905312,000007E1,false,Rx,0,8,4C,A3,00,00,00,00,00,B1,
46906105,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
46912755,00000463,false,Rx,0,8,8B,10,4B,10,CB,1C,0B,1A,
46913665,00000473,false,Rx,0,8,8B,1C,0B,1B,0B,1C,0B,19,
46914660,000007E3,false,Rx,0,8,40,00,00,00,00,00,00,04,
46917562,00000464,false,Rx,0,8,8C,C5,4C,C6,CC,D4,0C,D4,
46918472,00000474,false,Rx,0,8,8C,D3,0C,D4,0C,D3,0C,D3,
46919446,000007E4,false,Rx,0,8,4C,B4,00,00,00,00,00,C5,
46927802,00000466,false,Rx,0,8,8C,6F,4C,6E,CC,77,0C,76,
46928712,00000476,false,Rx,0,8,8C,76,0C,77,0C,78,0C,78,
46929698,000007E6,false,Rx,0,8,40,00,00,00,00,00,00,07,
46952276,00000468,false,Rx,0,8,8C,A2,4C,A4,CC,A9,0C,AA,
46953186,00000478,false,Rx,0,8,8C,A9,0C,A8,0C,AA,0C,AB,
46954160,000007E8,false,Rx,0,8,4C,92,00,00,00,00,00,A7,
46962924,0000046A,false,Rx,0,8,8C,B3,4C,B2,CC,B6,0C,B7,
46963835,0000047A,false,Rx,0,8,8C,B8,0C,B8,0C,B7,0C,B6,
46964819,000007EA,false,Rx,0,8,40,00,00,00,00,00,00,0B,
46971788,0000046C,false,Rx,0,6,8B,10,4B,12,CB,1B,00,00,
46972576,0000047C,false,Rx,0,6,8B,1B,0B,1B,0B,1B,00,00,
46973592,000007EC,false,Rx,0,8,4C,BA,00,00,00,00,00,D3,
46975952,0000046D,false,Rx,0,6,8C,99,4C,97,CC,A2,00,00,
46976750,0000047D,false,Rx,0,6,8C,9F,0C,A1,0C,9F,00,00,
46977744,000007ED,false,Rx,0,8,4C,C2,00,00,00,00,00,DC,
46981410,0000046E,false,Rx,0,6,8C,A1,4C,A2,CC,A9,00,00,
46982208,0000047E,false,Rx,0,6,8C,A8,0C,A8,0C,A8,00,00,
46983222,000007EE,false,Rx,0,8,40,00,00,00,00,00,00,0F,
46998234,00000200,false,Rx,0,3,D2,36,00,00,00,00,00,00,
47096061,00000460,false,Rx,0,6,8B,0F,1B,0C,BB,16,00,00,
47096858,00000470,false,Rx,0,6,8B,16,0B,16,0B,18,00,00,
47097874,000007E0,false,Rx,0,8,CC,AF,00,00,00,00,00,BE,
47102478,00000461,false,Rx,0,8,8B,09,1B,0B,BB,12,0B,13,
47103377,00000471,false,Rx,0,8,8B,12,0B,13,0B,11,0B,13,
47104382,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
47105355,000007E1,false,Rx,0,8,CC,A4,00,00,00,00,00,B4,
47106137,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
47112746,00000463,false,Rx,0,8,8B,10,1B,10,BB,1B,0B,1A,
47113666,00000473,false,Rx,0,8,8B,1C,0B,1C,0B,1B,0B,1B,
47114650,000007E3,false,Rx,0,8,C0,00,00,00,00,00,00,06,
47117573,00000464,false,Rx,0,8,8C,C5,1C,C6,BC,D4,0C,D4,
47118503,00000474,false,Rx,0,8,8C,D4,0C,D5,0C,D2,0C,D2,
47119468,000007E4,false,Rx,0,8,CC,B4,00,00,00,00,00,C7,
47127823,00000466,false,Rx,0,8,8C,6F,1C,6F,BC,7A,0C,7A,
47128723,00000476,false,Rx,0,8,8C,79,0C,7A,0C,79,0C,78,
47129718,000007E6,false,Rx,0,8,C0,00,00,00,00,00,00,09,
47152295,00000468,false,Rx,0,8,8C,A3,1C,A3,BC,A9,0C,AB,
47153196,00000478,false,Rx,0,8,8C,A9,0C,A7,0C,AA,0C,AB,
47154180,000007E8,false,Rx,0,8,CC,91,00,00,00,00,00,A8,
47162933,0000046A,false,Rx,0,8,8C,B0,1C,B4,BC,B7,0C,B6,
47163844,0000047A,false,Rx,0,8,8C,B7,0C,B9,0C,B8,0C,B7,
47164839,000007EA,false,Rx,0,8,C0,00,00,00,00,00,00,0D,
47171820,0000046C,false,Rx,0,6,8B,10,1B,11,BB,1A,00,00,
47172598,0000047C,false,Rx,0,6,8B,1B,0B,1C,0B,1C,00,00,
47173602,000007EC,false,Rx,0,8,CC,BA,00,00,00,00,00,D5,
47175942,0000046D,false,Rx,0,6,8C,98,1C,98,BC,A1,00,00,
47176740,0000047D,false,Rx,0,6,8C,9F,0C,A1,0C,9F,00,00,
47177735,000007ED,false,Rx,0,8,CC,C2,00,00,00,00,00,DE,
47181411,0000046E,false,Rx,0,6,8C,A1,1C,A1,BC,A9,00,00,
47182219,0000047E,false,Rx,0,6,8C,A9,0C,A8,0C,A7,00,00,
47183244,000007EE,false,Rx,0,8,C0,00,00,00,00,00,00,11,
47198246,00000200,false,Rx,0,3,52,59,00,00,00,00,00,00,
47296087,00000460,false,Rx,0,6,8B,0E,6B,0D,FB,16,00,00,
47296884,00000470,false,Rx,0,6,8B,17,0B,16,0B,17,00,00,
47297888,000007E0,false,Rx,0,8,4C,AF,00,00,00,00,00,BC,
47302491,00000461,false,Rx,0,8,8B,08,6B,08,FB,11,0B,14,
47303391,00000471,false,Rx,0,8,8B,11,0B,11,0B,10,0B,13,
47304397,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
47305359,000007E1,false,Rx,0,8,4C,A3,00,00,00,00,00,B1,
47306141,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
47312780,00000463,false,Rx,0,8,8B,10,6B,11,FB,1B,0B,1A,
47313691,00000473,false,Rx,0,8,8B,1B,0B,1A,0B,1C,0B,1A,
47314676,000007E3,false,Rx,0,8,40,00,00,00,00,00,00,04,
47317588,00000464,false,Rx,0,8,8C,C5,6C,C7,FC,D4,0C,D4,
47318487,00000474,false,Rx,0,8,8C,D3,0C,D5,0C,D3,0C,D3,
47319462,000007E4,false,Rx,0,8,4C,B4,00,00,00,00,00,C5,
47327837,00000466,false,Rx,0,8,8C,6E,6C,6C,FC,7A,0C,78,
47328737,00000476,false,Rx,0,8,8C,76,0C,79,0C,77,0C,76,
47329723,000007E6,false,Rx,0,8,40,00,00,00,00,00,00,07,
47352321,00000468,false,Rx,0,8,8C,A2,6C,A4,FC,A9,0C,AB,
47353241,00000478,false,Rx,0,8,8C,A8,0C,A9,0C,AA,0C,AB,
47354205,000007E8,false,Rx,0,8,4C,92,00,00,00,00,00,A7,
47362968,0000046A,false,Rx,0,8,8C,B0,6C,B2,FC,B7,0C,B7,
47363878,0000047A,false,Rx,0,8,8C,B8,0C,B8,0C,B6,0C,B8,
47364862,000007EA,false,Rx,0,8,40,00,00,00,00,00,00,0B,
47371821,0000046C,false,Rx,0,6,8B,10,6B,12,FB,1A,00,00,
47372609,0000047C,false,Rx,0,6,8B,1B,0B,1B,0B,1B,00,00,
47373614,000007EC,false,Rx,0,8,4C,BA,00,00,00,00,00,D3,
47375964,0000046D,false,Rx,0,6,8C,98,6C,98,FC,A1,00,00,
47376752,0000047D,false,Rx,0,6,8C,A0,0C,A0,0C,9F,00,00,
47377756,000007ED,false,Rx,0,8,4C,C2,00,00,00,00,00,DC,
47381442,0000046E,false,Rx,0,6,8C,A1,6C,A2,FC,A9,00,00,
47382230,0000047E,false,Rx,0,6,8C,A8,0C,A8,0C,A9,00,00,
47383255,000007EE,false,Rx,0,8,40,00,00,00,00,00,00,0F,
47398267,00000200,false,Rx,0,3,D2,6D,00,00,00,00,00,00,
47496118,00000460,false,Rx,0,6,8B,0E,0B,0D,BB,16,00,00,
47496895,00000470,false,Rx,0,6,8B,16,0B,17,0B,17,00,00,
47497911,000007E0,false,Rx,0,8,CC,AF,00,00,00,00,00,BE,
47502525,00000461,false,Rx,0,8,8B,0A,0B,09,BB,10,0B,12,
47503405,00000471,false,Rx,0,8,8B,11,0B,13,0B,11,0B,13,
47504420,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
47505393,000007E1,false,Rx,0,8,CC,A4,00,00,00,00,00,B4,
47506175,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
47512794,00000463,false,Rx,0,8,8B,10,0B,11,BB,1C,0B,1A,
47513704,00000473,false,Rx,0,8,8B,1C,0B,1A,0B,1C,0B,1B,
47514699,000007E3,false,Rx,0,8,C0,00,00,00,00,00,00,06,
47517591,00000464,false,Rx,0,8,8C,C5,0C,C7,BC,D5,0C,D4,
47518500,00000474,false,Rx,0,8,8C,D3,0C,D5,0C,D3,0C,D3,
47519466,000007E4,false,Rx,0,8,CC,B4,00,00,00,00,00,C7,
47527849,00000466,false,Rx,0,8,8C,6F,0C,6C,BC,78,0C,7B,
47528750,00000476,false,Rx,0,8,8C,77,0C,77,0C,78,0C,78,
47529745,000007E6,false,Rx,0,8,C0,00,00,00,00,00,00,09,
47552351,00000468,false,Rx,0,8,8C,A2,0C,A3,BC,AA,0C,A9,
47553262,00000478,false,Rx,0,8,8C,AA,0C,A7,0C,AA,0C,AA,
47554226,000007E8,false,Rx,0,8,CC,92,00,00,00,00,00,A9,
47562979,0000046A,false,Rx,0,8,8C,B2,0C,B2,BC,B7,0C,B8,
47563888,0000047A,false,Rx,0,8,8C,B6,0C,B5,0C,B7,0C,B7,
47564884,000007EA,false,Rx,0,8,C0,00,00,00,00,00,00,0D,
47571834,0000046C,false,Rx,0,6,8B,11,0B,12,BB,1C,00,00,
47572632,0000047C,false,Rx,0,6,8B,1A,0B,1C,0B,1C,00,00,
47573638,000007EC,false,Rx,0,8,CC,BA,00,00,00,00,00,D5,
47575998,0000046D,false,Rx,0,6,8C,99,0C,97,BC,A1,00,00,
47576805,0000047D,false,Rx,0,6,8C,A0,0C,9F,0C,9F,00,00,
47577801,000007ED,false,Rx,0,8,CC,C2,00,00,00,00,00,DE,
47581455,0000046E,false,Rx,0,6,8C,A1,0C,A2,BC,A9,00,00,
47582243,0000047E,false,Rx,0,6,8C,A8,0C,A9,0C,A9,00,00,
47583279,000007EE,false,Rx,0,8,C0,00,00,00,00,00,00,11,
47598281,00000200,false,Rx,0,3,52,9C,00,00,00,00,00,00,
47696122,00000460,false,Rx,0,6,8B,0E,9B,0D,4B,15,00,00,
47696909,00000470,false,Rx,0,6,8B,16,0B,16,0B,17,00,00,
47697933,000007E0,false,Rx,0,8,4C,AF,00,00,00,00,00,BC,
